MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MVM_PRSCRPTN_CN,SEXDSTN_FLAG_CD
"1","남구(부산)","성인","일반","19","관리자","2등급","20250201","준비운동:윗몸올리기 ,엎드려 버티기","M"
"1","남구(부산)","성인","일반","25","관리자","1등급","20250201","본운동:의자에 앉아 다리 뻗어 올리기,앉아서 엉덩관절 굽히기","F"
"3","KSPO송파","성인","일반","28","관리자","1등급","20250201","준비운동:전신 루틴 스트레칭 / 본운동:엎드려서 팔 다리 들기,수영 / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭","M"
"4","연제","성인","일반","20","관리자","3등급","20250201","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:매달려서 다리 들기,누워서 팔 다리 동시에 들어올리기,달리기,계단 올라갔다 내려오기,버피운동 / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭","M"
"6","동해","성인","일반","25","관리자","2등급","20250201","준비운동:윗몸 말아 올리기,버피운동 / 본운동:바벨 들어 팔꿈치 굽히기,소파를 이용한 윗몸올리기,옆으로 누워 버티기","F"
"1","남원","청소년","일반","18","관리자","3등급","20250201","준비운동:옆구리 스트레칭,무릎 당겨올리기,옆으로 팔 벌리며 점프하기 / 본운동:전완대고 버티기,윗몸 일으키기,앉았다 일어서기,맨몸운동  루틴프로그램 / 정리운동:조깅","M"
"1","화성","성인","일반","60","관리자","3등급","20250201","준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭 / 본운동:걷기,달리기,트레드밀에서 걷기,수영 / 정리운동:허리 스트레칭,배스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭","M"
"1","동해","성인","일반","52","관리자","참가","20250201","준비운동:등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭,허리 스트레칭 / 본운동:자가근막이완술 루틴 스트레칭,달리기,실내 자전거타기,수영 / 정리운동:배스트레칭,옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭","F"
"3","KSPO아산","성인","일반","60","관리자","3등급","20250201","준비운동:전신 루틴 스트레칭 / 본운동:소파를 이용한 윗몸올리기,엎드려서 팔 다리 들기,매달려서 다리 들기 / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2","M"
"1","KSPO대구","성인","일반","19","관리자","참가","20250201","준비운동:전신 루틴 스트레칭 / 본운동:윗몸올리기 ,엎드려 버티기,누워서 공들고 몸 기울이기 / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭","M"
"1","KSPO광주","청소년","일반","18","관리자","2등급","20250201","준비운동:걷기,조깅,아기자세 / 본운동:순간반응 콘 찍기,빠르게 무릎들어 뛰기","M"
"1","천안","성인","일반","27","관리자","참가","20250201","준비운동:유산소 운동 전 동적 루틴 스트레칭,누워서 막대 잡고 팔 회전하기 / 본운동:팔굽혀펴기,턱걸이,달리기 / 정리운동:하지 루틴 스트레칭2,전신 루틴 스트레칭","M"
"6","남원","성인","일반","20","관리자","3등급","20250201","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸 말아 올리기,앉았다 일어서기,엎드려 버티기,달리기 / 정리운동:하지 루틴 스트레칭1,전신 루틴 스트레칭","M"
"1","천안","성인","일반","25","관리자","2등급","20250201","준비운동:걷기,트레드밀에서 걷기 / 본운동:의자에 앉아 다리 뻗어 올리기,앉아서 엉덩관절 굽히기,서서 다리 뒤로 차기,서서 다리로 탄력밴드 당기기 I / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭","F"
"6","남구(부산)","성인","일반","55","관리자","2등급","20250201","준비운동:상지 루틴 스트레칭,하지 루틴 스트레칭2","F"
"3","KSPO송파","성인","일반","62","관리자","3등급","20250201","준비운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2","M"
"1","화성","성인","일반","57","관리자","참가","20250201","준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭 / 본운동:걷기,실내 자전거타기,트레드밀에서 걷기,수영 / 정리운동:허리 스트레칭,배스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭","F"
"1","남구(부산)","성인","일반","19","관리자","참가","20250201","본운동:달리기,윗몸올리기 ,엎드려 버티기 / 정리운동:하지 루틴 스트레칭2,전신 루틴 스트레칭","M"
"1","KSPO송파","성인","일반","20","관리자","참가","20250201","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:매달려서 다리 들기,누워서 팔 다리 동시에 들어올리기,누워서 수직으로 다리 들어올리기 ,달리기,계단 올라갔다 내려오기,버피운동 / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭","M"
"1","KSPO대구","성인","일반","19","관리자","참가","20250201","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 다리 들어올리기,누워서 팔 다리 동시에 들어올리기,걷기,달리기 / 정리운동:하지 루틴 스트레칭2","M"
