MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"1","사하","청소년","출장","13","관리자","3등급","20250501","M"
"1","사하","청소년","출장","13","관리자","참가","20250501","M"
"6","삼척","성인","출장","35","관리자","참가","20250501","F"
"4","미추홀","청소년","일반","17","관리자","2등급","20250501","F"
"1","사하","청소년","출장","13","관리자","참가","20250501","M"
"1","사하","청소년","출장","13","관리자","참가","20250501","M"
"3","미추홀","청소년","일반","17","관리자","2등급","20250501","F"
"3","삼척","성인","출장","27","관리자","참가","20250501","F"
"3","삼척","성인","출장","33","관리자","참가","20250501","M"
"1","사하","청소년","출장","13","관리자","3등급","20250501","M"
"3","미추홀","청소년","일반","17","관리자","3등급","20250501","F"
"1","사하","청소년","출장","13","관리자","참가","20250501","M"
"1","사하","청소년","출장","14","관리자","참가","20250501","M"
"4","삼척","성인","출장","38","관리자","1등급","20250501","M"
"3","삼척","성인","출장","31","관리자","참가","20250501","M"
"2","삼척","성인","출장","24","관리자","3등급","20250501","M"
"3","삼척","성인","출장","27","관리자","참가","20250501","M"
"3","미추홀","성인","일반","22","관리자","3등급","20250501","F"
"5","삼척","성인","출장","33","관리자","참가","20250501","M"
"1","삼척","성인","출장","43","관리자","참가","20250501","M"
"4","삼척","성인","출장","38","관리자","참가","20250501","M"
"6","삼척","성인","출장","47","관리자","참가","20250501","M"
"1","사하","청소년","출장","14","관리자","참가","20250501","M"
"3","삼척","성인","출장","55","관리자","참가","20250501","M"
"4","삼척","성인","출장","24","관리자","참가","20250501","M"
"4","삼척","성인","출장","55","관리자","2등급","20250501","M"
"4","삼척","성인","출장","50","관리자","2등급","20250501","M"
"2","삼척","성인","출장","30","관리자","참가","20250501","M"
"2","삼척","성인","출장","26","관리자","참가","20250501","M"
"4","삼척","성인","출장","37","관리자","참가","20250501","M"
"3","삼척","성인","출장","31","관리자","참가","20250501","M"
"1","사하","청소년","출장","13","관리자","참가","20250501","M"
"3","삼척","성인","출장","28","관리자","참가","20250501","M"
"1","사하","청소년","출장","14","관리자","참가","20250501","M"
"1","사하","청소년","출장","14","관리자","참가","20250501","M"
"1","사하","청소년","출장","13","관리자","참가","20250501","M"
"4","삼척","성인","출장","40","관리자","3등급","20250501","M"
"3","성남","성인","일반","25","관리자","3등급","20250501","F"
"1","동작","성인","일반","23","관리자","3등급","20250501","F"
"1","사하","청소년","출장","13","관리자","2등급","20250501","M"
"4","삼척","성인","출장","33","관리자","참가","20250501","M"
"2","삼척","성인","출장","31","관리자","3등급","20250501","M"
"6","삼척","성인","출장","54","관리자","참가","20250501","M"
"1","사하","청소년","출장","13","관리자","참가","20250501","M"
"4","삼척","성인","출장","39","관리자","참가","20250501","M"
"3","삼척","성인","출장","28","관리자","참가","20250501","M"
"2","삼척","성인","출장","38","관리자","참가","20250501","M"
"4","삼척","성인","출장","28","관리자","참가","20250501","M"
"1","사하","청소년","출장","14","관리자","참가","20250501","M"
"3","삼척","성인","출장","29","관리자","참가","20250501","M"
"1","서구(광주)","성인","일반","19","관리자","참가","20250501","M"
"2","삼척","성인","출장","30","관리자","참가","20250501","M"
"1","성남","성인","일반","50","관리자","참가","20250501","M"
"4","삼척","성인","출장","58","관리자","참가","20250501","M"
"3","삼척","성인","출장","53","관리자","참가","20250501","M"
"1","미추홀","청소년","일반","17","관리자","2등급","20250501","F"
"2","미추홀","청소년","일반","18","관리자","참가","20250501","F"
"2","미추홀","청소년","일반","16","관리자","참가","20250501","F"
"4","삼척","성인","출장","32","관리자","참가","20250501","M"
"2","삼척","성인","출장","28","관리자","참가","20250501","M"
"1","사하","청소년","출장","13","관리자","3등급","20250501","M"
"1","미추홀","성인","일반","21","관리자","참가","20250501","F"
"1","삼척","성인","출장","35","관리자","참가","20250501","M"
